title,author,avg_rating,reviews,year,genre
zero to one notes on startups or how to build the future hardcover,peter thiel,4.18,274357,2014,business
the lean startup how todays entrepreneurs use continuous innovation to create radically successful businesses hardcover,eric ries,4.11,278624,2011,business
the lean startup how todays entrepreneurs use continuous innovation to create radically successful businesses hardcover,eric ries,4.11,278624,2011,business
how to win friends and influence people paperback,dale carnegie,4.21,794108,1936,business
the 4hour workweek ebook,timothy ferriss,3.92,248997,2007,business
the 7 habits of highly effective people powerful lessons in personal change paperback,stephen r. covey,4.14,640372,1988,business
start with why how great leaders inspire everyone to take action hardcover,simon sinek,4.10,170558,2009,business
rework hardcover,jason fried,3.96,154358,2010,business
the tipping point how little things can make a big difference paperback,malcolm gladwell,3.99,759831,2000,business
the hard thing about hard things building a business when there are no easy answers hardcover,ben horowitz,4.23,75627,2014,business
rich dad poor dad paperback,robert t. kiyosaki,4.11,492120,1997,business
the emyth revisited why most small businesses dont work and what to do about it paperback,michael e. gerber,4.04,74534,1985,business
good to great why some companies make the leap and others dont hardcover,james c. collins,4.13,162024,2001,business
outliers the story of success hardcover,malcolm gladwell,4.18,676486,2008,business
the innovators dilemma the revolutionary book that will change the way you do business paperback,clayton m. christensen,4.03,47984,1997,business
freakonomics a rogue economist explores the hidden side of everything hardcover,steven d. levitt,4.00,789816,2005,business
shoe dog a memoir by the creator of nike hardcover,phil knight,4.47,218671,2016,business
never split the difference negotiating as if your life depended on it hardcover,chris voss,4.37,105076,2016,business
the power of habit why we do what we do in life and business hardcover,charles duhigg,4.12,429974,2012,business
made to stick why some ideas survive and others die hardcover,chip heath,3.97,85207,2006,business
blue ocean strategy how to create uncontested market space and make the competition irrelevant hardcover,w. chan kim,3.99,65822,1994,business
built to last successful habits of visionary companies hardcover,james c. collins,4.04,69044,1994,business
influence the psychology of persuasion paperback,robert b. cialdini,4.20,128493,1984,business
the five dysfunctions of a team a leadership fable hardcover,patrick lencioni,4.08,97095,2002,business
creativity inc overcoming the unseen forces that stand in the way of true inspiration hardcover,ed catmull,4.21,80471,2014,business
steve jobs hardcover,walter isaacson,4.15,1114851,2011,business
lean in women work and the will to lead hardcover,sheryl sandberg,3.95,245290,2013,business
the personal mba master the art of business hardcover,josh kaufman,4.09,35381,2010,business
getting things done the art of stressfree productivity paperback,david    allen,3.99,145393,2001,business
the intelligent investor paperback,benjamin graham,4.24,107437,1949,business
bad blood secrets and lies in a silicon valley startup hardcover,john carreyrou,4.40,222992,2018,business
who moved my cheese hardcover,spencer johnson,3.84,421739,1998,business
delivering happiness a path to profits passion and purpose hardcover,tony hsieh,4.03,69997,2010,business
drive the surprising truth about what motivates us hardcover,daniel h. pink,3.95,108623,2009,business
