title,author,avg_rating,reviews,year,genre
the shining paperback,stephen king,4.25,1292022,1977,horror
it paperback,stephen king,4.24,944386,1986,horror
dracula paperback,bram stoker,4.01,1084353,1897,horror
carrie mass market paperback,stephen king,3.98,606703,1974,horror
pet sematary kindle edition,stephen king,4.03,496195,1983,horror
frankenstein the 1818 text paperback,mary wollstonecraft shelley,3.84,1346062,1818,horror
the haunting of hill house paperback,shirley jackson,3.83,219976,1959,horror
salems lot paperback,stephen king,4.04,384328,1975,horror
the stand hardcover,stephen king,4.34,689360,1978,horror
misery paperback,stephen king,4.19,586397,1987,horror
mexican gothic hardcover,silvia moreno-garcia,3.69,231042,2020,horror
house of leaves paperback,mark z. danielewski,4.07,148743,2000,horror
interview with the vampire the vampire chronicles 1,anne rice,4.01,531037,1976,horror
world war z an oral history of the zombie war hardcover,max brooks,4.01,482979,2006,horror
doctor sleep hardcover,stephen king,4.12,228049,2013,horror
we have always lived in the castle paperback,shirley jackson,3.97,158775,1962,horror
cujo paperback,stephen king,3.75,253136,1981,horror
nos4a2 hardcover,joe hill,4.08,114416,2013,horror
bird box bird box 1,josh malerman,4.03,166656,2014,horror
heartshaped box hardcover,joe hill,3.85,120449,2007,horror
the exorcist mass market paperback,william peter blatty,4.19,204131,1971,horror
needful things paperback,stephen king,3.94,228791,1991,horror
coraline paperback,neil gaiman,4.08,574489,2002,horror
christine paperback,stephen king,3.81,220008,1983,horror
dr jekyll and mr hyde paperback,robert louis stevenson,3.83,469387,1886,horror
night shift paperback,stephen king,4.02,161844,1978,horror
let the right one in hardcover,john ajvide lindqvist,4.04,101164,2004,horror
the outsider hardcover,stephen king,3.99,239601,2018,horror
the southern book clubs guide to slaying vampires kindle edition,grady hendrix,3.83,120304,2020,horror
the dead zone mass market paperback,stephen king,3.95,202664,1979,horror
firestarter mass market paperback,stephen king,3.90,206716,1980,horror
rosemarys baby rosemarys baby 1,ira levin,4.02,124043,1967,horror
the only good indians hardcover,stephen graham jones,3.73,46670,2020,horror
cell mass market paperback,stephen king,3.66,208381,2006,horror
horns hardcover,joe hill,3.93,107542,2009,horror
the silence of the lambs  hannibal lecter 2,thomas  harris,4.22,511816,1988,horror
the girl with all the gifts the girl with all the gifts 1,m.r. carey,3.95,207079,2014,horror
a head full of ghosts hardcover,paul tremblay,3.80,60827,2015,horror
horrorstr paperback,grady hendrix,3.65,52582,2014,horror
the picture of dorian gray paperback,oscar wilde,4.10,1200986,1890,horror
the turn of the screw paperback,henry james,3.41,130531,1898,horror
bag of bones mass market paperback,stephen king,3.91,184986,1998,horror
the troop hardcover,nick cutter,3.81,45599,2014,horror
the tommyknockers mass market paperback,stephen king,3.57,137537,1987,horror
something wicked this way comes green town 2,ray bradbury,3.92,114252,1962,horror
thinner mass market paperback,richard bachman,3.75,191227,1984,horror
under the dome hardcover,stephen king,3.91,278707,2009,horror
skeleton crew paperback,stephen king,3.97,116173,1985,horror
the dark half paperback,stephen king,3.79,132619,1989,horror
the gunslinger the dark tower 1,stephen king,3.94,556879,1982,horror
the shining paperback,stephen king,4.25,1292022,1977,horror
it paperback,stephen king,4.24,944386,1986,horror
dracula paperback,bram stoker,4.01,1084353,1897,horror
carrie mass market paperback,stephen king,3.98,606703,1974,horror
pet sematary kindle edition,stephen king,4.03,496195,1983,horror
frankenstein the 1818 text paperback,mary wollstonecraft shelley,3.84,1346062,1818,horror
the haunting of hill house paperback,shirley jackson,3.83,219976,1959,horror
salems lot paperback,stephen king,4.04,384328,1975,horror
the stand hardcover,stephen king,4.34,689360,1978,horror
misery paperback,stephen king,4.19,586397,1987,horror
mexican gothic hardcover,silvia moreno-garcia,3.69,231042,2020,horror
house of leaves paperback,mark z. danielewski,4.07,148743,2000,horror
interview with the vampire the vampire chronicles 1,anne rice,4.01,531037,1976,horror
world war z an oral history of the zombie war hardcover,max brooks,4.01,482979,2006,horror
doctor sleep hardcover,stephen king,4.12,228049,2013,horror
we have always lived in the castle paperback,shirley jackson,3.97,158775,1962,horror
cujo paperback,stephen king,3.75,253136,1981,horror
nos4a2 hardcover,joe hill,4.08,114416,2013,horror
bird box bird box 1,josh malerman,4.03,166656,2014,horror
heartshaped box hardcover,joe hill,3.85,120449,2007,horror
the exorcist mass market paperback,william peter blatty,4.19,204131,1971,horror
needful things paperback,stephen king,3.94,228791,1991,horror
coraline paperback,neil gaiman,4.08,574489,2002,horror
christine paperback,stephen king,3.81,220008,1983,horror
dr jekyll and mr hyde paperback,robert louis stevenson,3.83,469387,1886,horror
night shift paperback,stephen king,4.02,161844,1978,horror
let the right one in hardcover,john ajvide lindqvist,4.04,101164,2004,horror
the outsider hardcover,stephen king,3.99,239601,2018,horror
the southern book clubs guide to slaying vampires kindle edition,grady hendrix,3.83,120304,2020,horror
the dead zone mass market paperback,stephen king,3.95,202664,1979,horror
firestarter mass market paperback,stephen king,3.90,206716,1980,horror
rosemarys baby rosemarys baby 1,ira levin,4.02,124043,1967,horror
the only good indians hardcover,stephen graham jones,3.73,46670,2020,horror
cell mass market paperback,stephen king,3.66,208381,2006,horror
horns hardcover,joe hill,3.93,107542,2009,horror
the silence of the lambs  hannibal lecter 2,thomas  harris,4.22,511816,1988,horror
the girl with all the gifts the girl with all the gifts 1,m.r. carey,3.95,207079,2014,horror
a head full of ghosts hardcover,paul tremblay,3.80,60827,2015,horror
horrorstr paperback,grady hendrix,3.65,52582,2014,horror
the picture of dorian gray paperback,oscar wilde,4.10,1200986,1890,horror
