title,author,avg_rating,reviews,year,genre
moneyball the art of winning an unfair game paperback,michael   lewis,4.25,117142,2003,sports
the deal offcampus 1,elle kennedy,4.28,356187,2015,sports
the wall of winnipeg and me kindle edition,mariana zapata,4.29,153522,2016,sports
kulti kindle edition,mariana zapata,4.33,82693,2015,sports
the mistake offcampus 2,elle kennedy,4.08,187965,2015,sports
the score offcampus 3,elle kennedy,4.23,163293,2016,sports
born to run a hidden tribe superathletes and the greatest race the world has never seen hardcover,christopher mcdougall,4.30,189488,2009,sports
pucked pucked 1,helena hunting,3.94,55967,2015,sports
him him 1,sarina bowen,4.30,43198,2015,sports
the boys in the boat nine americans and their epic quest for gold at the 1936 berlin olympics hardcover,daniel james brown,4.36,258656,2013,sports
the blind side paperback,michael   lewis,4.16,91083,2006,sports
from lukov with love paperback,mariana zapata,4.38,113834,2018,sports
friday night lights a town a team and a dream mass market paperback,h.g. bissinger,4.14,55106,1988,sports
the hook up game on 1,kristen callihan,3.98,51225,2014,sports
the goal offcampus 4,elle kennedy,4.00,109819,2016,sports
the baller kindle edition,vi keeland,4.04,42244,2016,sports
open hardcover,andre agassi,4.27,100266,2009,sports
the crossover ebook,kwame alexander,4.26,50889,2014,sports
alex cold fury hockey 1,sawyer bennett,3.97,25438,2014,sports
the book of basketball the nba according to the sports guy hardcover,bill simmons,4.19,33618,2009,sports
the chase briar u 1,elle kennedy,3.92,93957,2018,sports
ball four paperback,jim bouton,4.03,18145,1970,sports
the friend zone game on 2,kristen callihan,4.16,38936,2015,sports
the perfect play play by play 1,jaci burton,3.90,38366,2011,sports
the game plan game on 3,kristen callihan,4.11,28259,2015,sports
the risk briar u 2,elle kennedy,4.30,75838,2019,sports
beartown beartown 1,fredrik backman,4.27,290030,2016,sports
ghost track 1,jason  reynolds,4.22,37342,2016,sports
us him 2,sarina bowen,4.33,23983,2016,sports
the art of fielding hardcover,chad harbach,3.98,111114,2011,sports
the foxhole court all for the game 1,nora sakavic,4.03,55117,2013,sports
it had to be you chicago stars 1,susan elizabeth phillips,4.02,63458,1994,sports
seabiscuit an american legend mass market paperback,laura hillenbrand,4.20,157302,1999,sports
scoring wilder ebook,r.s. grey,4.02,30821,2014,sports
taking shots assassins 1,toni aleo,3.91,22537,2011,sports
sacked gridiron 1,jen frederick,3.99,16335,2015,sports
good boy wags 1,sarina bowen,4.05,19455,2017,sports
sweet home sweet home 1,tillie cole,3.98,37556,2013,sports
the hooker and the hermit rugby 1,l.h. cosway,3.91,26518,2015,sports
